nomcom;numdep;insee;geo_point_2d;geo_shape;shape_leng;shape_area
Vaudoy-en-Brie;77;77486;48.6975609206, 3.08246340296;"{""type"": ""Polygon"", ""coordinates"": [[[3.050878282221406, 48.66299122895404], [3.043745837308332, 48.674705134356955], [3.049255276299176, 48.68421027869836], [3.060130142042971, 48.690933207045646], [3.055310862938114, 48.70720650256163], [3.062055596844271, 48.72214277148325], [3.062008480797561, 48.72825888695353], [3.080086547009147, 48.725792698630634], [3.084940563482309, 48.72622106668642], [3.085000211165981, 48.72945894827587], [3.107888872315675, 48.732903225079106], [3.106629635393484, 48.71549146034397], [3.126340230362202, 48.70511969348664], [3.117950160245659, 48.69669149363518], [3.105194176894185, 48.691117842538645], [3.103612108751579, 48.66746340832902], [3.080413660893211, 48.67334584021633], [3.060451054055151, 48.66298675866272], [3.050878282221406, 48.66299122895404]]]}";24764.8284607;27478768.0
Ferté-Gaucher (la);77;77182;48.7881786696, 3.30423031275;"{""type"": ""Polygon"", ""coordinates"": [[[3.280191298012735, 48.75430806417848], [3.276243898279456, 48.7563589144898], [3.278962341081843, 48.76614708803393], [3.277834749621299, 48.77668162488837], [3.291703091331475, 48.79159634742153], [3.303300194153667, 48.814960099828085], [3.300887428648432, 48.82163044057867], [3.290821800913667, 48.82396668440853], [3.293061714089487, 48.827486675868265], [3.308058057091427, 48.82735905238347], [3.313726242126092, 48.823117357177196], [3.328586154330093, 48.823158391019], [3.323662743414023, 48.817721711226], [3.329996151900681, 48.81352236775405], [3.328384105239303, 48.81054091615143], [3.319537349313622, 48.80234466046181], [3.329374155907534, 48.79481717036795], [3.313374366783429, 48.782700545264326], [3.318960322236025, 48.77700162248335], [3.31769319094345, 48.75662460037964], [3.293208436234252, 48.75911562017316], [3.280191298012735, 48.75430806417848]]]}";23789.686465;18100464.0
Saint-Forget;78;78548;48.7127668824, 1.99703639595;"{""type"": ""Polygon"", ""coordinates"": [[[2.020820820723457, 48.69645453032311], [2.019520023665716, 48.6969835540968], [1.999368955924574, 48.69980260373093], [1.993036674113684, 48.708960339648954], [1.970862722270643, 48.717559342054386], [1.971530094169112, 48.72094723768256], [1.98868012731204, 48.7290004066257], [2.004349825386704, 48.72082080531677], [2.002901161240054, 48.7140984205684], [2.023426095977735, 48.7031952529981], [2.020820820723457, 48.69645453032311]]]}";11499.0277312;5718166.99999
Aubergenville;78;78029;48.9626916321, 1.84870251916;"{""type"": ""Polygon"", ""coordinates"": [[[1.852237513943501, 48.93434871956596], [1.849714322666723, 48.935484692048654], [1.834715377805065, 48.95239141329193], [1.839907315509568, 48.96144411174516], [1.836578224044746, 48.97777058226875], [1.817612631736871, 48.97548071323005], [1.828338801741828, 48.981458524989975], [1.854982163254222, 48.987642248844224], [1.864291998311243, 48.95306195870895], [1.869923799449732, 48.94714358543294], [1.856775096907061, 48.94341254669016], [1.852237513943501, 48.93434871956596]]]}";16609.8927294;9146073.99998
Cesson;77;77067;48.5647346588, 2.59524476663;"{""type"": ""Polygon"", ""coordinates"": [[[2.596554393401111, 48.54533570287561], [2.582072569927205, 48.54689592350922], [2.582277018828639, 48.553544451446676], [2.568602041595207, 48.55717486099907], [2.566637015831156, 48.56374351513118], [2.580612984950866, 48.55998846705468], [2.584880735281771, 48.561838539895], [2.596093833260967, 48.576980643886586], [2.5963977750889, 48.59383908910749], [2.600792369669901, 48.590156812211234], [2.611687865112841, 48.5782289495572], [2.609119683507293, 48.56085917440525], [2.596554393401111, 48.54533570287561]]]}";14864.0059159;7146524.99998
Villiers-Saint-Georges;77;77519;48.6516910276, 3.40775745476;"{""type"": ""Polygon"", ""coordinates"": [[[3.380882717336587, 48.62479457475071], [3.361821170494673, 48.62514184671781], [3.358963041455548, 48.627831031455194], [3.357821773707991, 48.64747056428262], [3.384776015987496, 48.66158951681678], [3.373663398245194, 48.67220274973741], [3.379949112106944, 48.67749877384514], [3.415312426492116, 48.681986139909654], [3.442684492687381, 48.67250613371157], [3.446181312602114, 48.666898322464725], [3.442561208610225, 48.66435728094066], [3.458809170112623, 48.65128020873866], [3.451090614365093, 48.63465089605872], [3.447017717442595, 48.628117811811514], [3.427516824180119, 48.631265723433195], [3.397512389424743, 48.63121670857471], [3.387636143005891, 48.62978305820963], [3.380882717336587, 48.62479457475071]]]}";24443.5951435;32929145.5
Garentreville;77;77200;48.2339884396, 2.55980121131;"{""type"": ""Polygon"", ""coordinates"": [[[2.542288072207185, 48.223195679199414], [2.53206265059803, 48.22985007188617], [2.546726372671747, 48.24262116421033], [2.57272376594561, 48.244337589564985], [2.586584971201825, 48.232338826025405], [2.585043807300659, 48.226232878906984], [2.560504942606641, 48.22826766564545], [2.542288072207185, 48.223195679199414]]]}";10462.6438386;6101152.5
Courances;91;91180;48.4385478349, 2.48480049204;"{""type"": ""Polygon"", ""coordinates"": [[[2.461092694093542, 48.42475327025847], [2.460089535478835, 48.436876139844976], [2.468439836011122, 48.44407508225695], [2.497940704914491, 48.45726638241756], [2.504037599206746, 48.45329760558292], [2.504750825802261, 48.447938705220764], [2.505029301550171, 48.42986585641233], [2.485764776646673, 48.42579842706799], [2.461092694093542, 48.42475327025847]]]}";11550.7051304;8436161.99998
Crouy-sur-Ourcq;77;77148;49.0867480473, 3.07964633492;"{""type"": ""Polygon"", ""coordinates"": [[[3.075912284370081, 49.05272456340781], [3.070761315820677, 49.057511211602204], [3.058520340826244, 49.06112339317538], [3.046188088261944, 49.07171170122501], [3.047477548085365, 49.075029020929705], [3.065497196819152, 49.08180901799982], [3.06607643473711, 49.08521640406444], [3.056738441151865, 49.09576789725637], [3.056320678084301, 49.10191805097362], [3.071884293834269, 49.1175542188162], [3.079314637720356, 49.112730360255156], [3.114515245664717, 49.10715450524236], [3.110960394294744, 49.09065903744937], [3.089791102835012, 49.08045361902053], [3.087788892292767, 49.070115016443296], [3.09643622548548, 49.06191717124573], [3.075912284370081, 49.05272456340781]]]}";20776.4381745;19133818.0
Clichy;92;92024;48.9035359139, 2.30575230452;"{""type"": ""Polygon"", ""coordinates"": [[[2.303777114032848, 48.89415199628832], [2.287389258968528, 48.90364238146718], [2.313758259741168, 48.91402154218432], [2.319884458526642, 48.90045886733919], [2.303777114032848, 48.89415199628832]]]}";6797.44520218;2761281.0
